repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
gocui,Go,2014-01-04T02:50:20Z,2026-02-07T18:02:13Z,10505,632,60,10505,258
comcast,Go,2014-11-12T03:15:58Z,2026-02-06T14:17:26Z,10495,383,26,10495,88
caire,Go,2018-01-08T19:23:04Z,2026-02-03T16:03:54Z,10480,387,3,10480,92414
lipgloss,Go,2021-03-01T19:31:36Z,2026-02-07T22:51:20Z,10477,308,99,10477,2389
kompose,Go,2016-06-27T21:08:18Z,2026-02-08T06:26:51Z,10433,795,11,10433,45151
GolangTraining,Go,2015-08-09T23:09:58Z,2026-02-07T21:35:54Z,10417,3641,51,10417,41665
skopeo,Go,2016-03-07T20:23:29Z,2026-02-08T03:50:59Z,10416,904,73,10416,62689
nofx,Go,2025-10-28T07:17:53Z,2026-02-08T06:07:02Z,10415,2751,470,10415,65169
fq,Go,2021-02-07T21:37:53Z,2026-02-06T14:42:07Z,10410,243,60,10410,53101
qrcp,Go,2018-01-14T22:35:55Z,2026-02-07T12:20:05Z,10407,547,8,10407,26405
imgproxy,Go,2017-06-20T13:58:55Z,2026-02-07T15:32:49Z,10401,722,80,10401,41659
conc,Go,2023-01-02T22:52:07Z,2026-02-07T05:56:59Z,10301,354,28,10301,280
distribution,Go,2014-12-22T23:49:26Z,2026-02-08T06:49:40Z,10252,2711,493,10252,44149
sourcegraph-public-snapshot,Go,2015-08-24T07:27:28Z,2026-02-07T16:17:51Z,10248,1354,4746,10248,1341629
godotenv,Go,2013-07-30T07:45:19Z,2026-02-08T08:26:05Z,10211,446,79,10211,137
server,Go,2020-07-16T18:46:51Z,2026-02-08T03:20:26Z,10188,703,13,10188,1394
livego,Go,2017-05-28T08:11:36Z,2026-02-06T23:44:25Z,10176,2029,140,10176,2643
goose,Go,2016-02-25T20:39:37Z,2026-02-07T23:41:49Z,10149,625,113,10149,11838
graphql,Go,2015-07-19T12:25:43Z,2026-02-07T05:33:33Z,10147,844,238,10147,3694
NoiseTorch,Go,2020-07-04T22:33:40Z,2026-02-08T00:56:48Z,10097,241,67,10097,6158
gh-dash,Go,2021-10-14T17:53:33Z,2026-02-08T05:47:02Z,10086,330,69,10086,57342
protobuf,Go,2014-11-23T23:07:23Z,2026-02-05T18:28:00Z,10062,1574,113,10062,8435
gatus,Go,2019-09-04T02:35:40Z,2026-02-08T08:22:43Z,10055,663,255,10055,36416
templ,Go,2021-04-10T19:37:28Z,2026-02-08T05:58:01Z,10046,341,56,10046,9278
go-clean-arch,Go,2017-06-09T02:04:22Z,2026-02-07T09:17:08Z,10003,1304,36,10003,381
go-swagger,Go,2014-11-16T20:13:15Z,2026-02-07T13:47:49Z,9937,1292,596,9937,55804
centrifugo,Go,2015-03-31T20:26:49Z,2026-02-08T07:03:26Z,9924,678,28,9924,139200
redigo,Go,2012-04-14T04:31:58Z,2026-02-05T10:38:55Z,9884,1246,25,9884,595
keda,Go,2019-02-13T00:12:33Z,2026-02-07T13:51:26Z,9877,1311,210,9877,94074
meshery,Go,2018-11-14T13:41:00Z,2026-02-08T06:05:25Z,9861,3032,1044,9861,1270418
go-cloud,Go,2018-03-21T22:57:26Z,2026-02-08T03:05:41Z,9854,827,4,9854,44852
prometheus-operator,Go,2016-09-22T21:38:06Z,2026-02-06T09:58:50Z,9845,3842,295,9845,159633
talos,Go,2017-11-03T23:19:12Z,2026-02-08T07:41:12Z,9839,783,253,9839,82950
nerdctl,Go,2020-12-04T10:09:03Z,2026-02-08T04:17:05Z,9815,737,353,9815,13473
awesomo,Go,2016-12-13T17:44:11Z,2026-02-07T19:03:33Z,9808,687,4,9808,57
usql,Go,2017-03-02T13:03:21Z,2026-02-07T13:59:35Z,9804,380,101,9804,3291
termshark,Go,2019-04-20T03:08:13Z,2026-02-08T08:30:52Z,9801,432,45,9801,22261
