repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
bootstrap-vue,JavaScript,2016-10-08T15:59:35Z,2026-02-07T18:18:57Z,14486,1867,197,14486,55445
engine,JavaScript,2014-05-12T11:24:30Z,2026-02-08T02:10:34Z,14437,1731,602,14437,548085
lint-staged,JavaScript,2016-01-15T07:51:21Z,2026-02-08T05:21:07Z,14433,459,42,14433,6606
shelljs,JavaScript,2012-03-02T17:04:47Z,2026-02-08T07:09:11Z,14400,743,102,14400,1917
marko,JavaScript,2014-01-07T23:58:21Z,2026-02-06T22:13:28Z,14311,664,16,14311,45122
editor.md,JavaScript,2015-02-01T04:24:14Z,2026-02-07T06:40:42Z,14305,2460,581,14305,16106
supertest,JavaScript,2012-06-27T20:56:12Z,2026-02-08T07:46:39Z,14302,782,178,14302,846
qrcodejs,JavaScript,2012-12-26T05:29:39Z,2026-02-07T03:05:33Z,14229,4789,235,14229,130
webpack-dashboard,JavaScript,2016-08-14T17:44:33Z,2026-02-07T15:49:14Z,14221,366,39,14221,2109
bootstrap,JavaScript,2012-10-05T18:27:01Z,2026-02-07T11:43:35Z,14208,6621,335,14208,9938
codelf,JavaScript,2015-12-13T15:58:19Z,2026-02-05T01:29:02Z,14205,969,43,14205,23351
http-server,JavaScript,2011-06-16T23:54:57Z,2026-02-06T22:06:46Z,14160,1556,99,14160,2118
node-http-proxy,JavaScript,2010-07-24T18:30:12Z,2026-02-07T01:59:55Z,14151,2014,622,14151,1604
prepack,JavaScript,2015-10-28T23:25:08Z,2026-02-01T20:36:15Z,14148,411,232,14148,19054
Snap.svg,JavaScript,2013-08-15T20:51:34Z,2026-02-04T16:04:23Z,14021,1130,267,14021,3624
store.js,JavaScript,2010-06-27T20:29:33Z,2026-02-05T16:42:03Z,14013,1320,99,14013,621
f8app,JavaScript,2016-03-10T21:45:12Z,2026-02-03T11:42:42Z,13940,2494,45,13940,14623
electronic-wechat,JavaScript,2016-02-18T09:09:53Z,2026-02-07T12:19:24Z,13902,2691,208,13902,1114
WebFundamentals,JavaScript,2014-04-28T18:45:45Z,2026-02-07T11:59:12Z,13881,2540,1201,13881,1729601
forever,JavaScript,2010-09-27T15:47:23Z,2026-02-07T16:20:31Z,13872,941,342,13872,1305
single-spa,JavaScript,2015-09-22T06:34:46Z,2026-02-07T09:53:44Z,13845,929,60,13845,7867
stf,JavaScript,2015-06-22T02:23:43Z,2026-02-08T03:02:19Z,13820,2947,464,13820,71754
git-history,JavaScript,2019-02-04T21:00:39Z,2026-02-07T04:04:10Z,13686,542,94,13686,33148
habitica,JavaScript,2012-06-06T22:49:48Z,2026-02-07T21:51:14Z,13661,4392,191,13661,1669902
shepherd,JavaScript,2013-12-17T06:30:27Z,2026-02-07T02:43:43Z,13641,654,51,13641,93541
react-in-patterns,JavaScript,2016-06-20T07:53:11Z,2026-02-08T06:35:09Z,13603,985,1,13603,137244
automatisch,JavaScript,2021-09-30T20:28:16Z,2026-02-08T08:25:00Z,13588,1029,269,13588,17828
flexsearch,JavaScript,2018-02-25T12:40:24Z,2026-02-08T08:36:48Z,13582,520,27,13582,7368
dataloader,JavaScript,2015-09-10T10:05:23Z,2026-02-07T03:25:21Z,13570,515,43,13570,889
electerm,JavaScript,2017-10-07T09:54:11Z,2026-02-08T08:41:11Z,13568,1092,530,13568,32286
nedb,JavaScript,2013-05-01T17:12:17Z,2026-02-08T06:15:26Z,13566,1021,209,13566,1513
codesandbox-client,JavaScript,2016-12-27T13:04:17Z,2026-02-07T12:14:11Z,13556,2415,588,13556,805798
color-thief,JavaScript,2011-11-01T15:33:12Z,2026-02-08T03:49:18Z,13549,1320,75,13549,1973
filestash,JavaScript,2017-06-13T05:34:14Z,2026-02-07T17:04:36Z,13545,962,73,13545,74104
sql.js,JavaScript,2012-02-27T03:05:49Z,2026-02-07T19:00:56Z,13521,1105,141,13521,149192
diffusionbee-stable-diffusion-ui,JavaScript,2022-09-06T02:11:00Z,2026-02-07T19:46:59Z,13510,711,398,13510,219307
mui,JavaScript,2014-08-18T07:14:41Z,2026-02-07T11:47:31Z,13502,6518,333,13502,8101
browserslist,JavaScript,2014-12-13T19:35:45Z,2026-02-08T07:22:24Z,13490,763,45,13490,4712
redux-devtools-extension,JavaScript,2015-10-24T14:10:38Z,2026-02-07T07:55:07Z,13489,1012,265,13489,11615
return-youtube-dislike,JavaScript,2021-11-15T00:40:50Z,2026-02-08T08:43:03Z,13464,601,213,13464,6831
rabbitmq-server,JavaScript,2010-09-20T10:29:16Z,2026-02-08T01:42:39Z,13445,3989,263,13445,225855
Cloudflare-vless-trojan,JavaScript,2023-07-22T05:43:42Z,2026-02-08T08:47:55Z,13415,9010,0,13415,157737
johnny-five,JavaScript,2012-03-30T20:09:52Z,2026-02-04T05:43:32Z,13409,1745,64,13409,95042
noVNC,JavaScript,2010-04-07T01:55:44Z,2026-02-08T08:26:16Z,13404,2564,103,13404,10835
zotero,JavaScript,2011-10-27T07:46:48Z,2026-02-08T07:54:56Z,13401,941,1582,13401,232386
UglifyJS,JavaScript,2012-08-27T09:31:03Z,2026-02-07T21:16:52Z,13397,1235,44,13397,19132
angular-seed,JavaScript,2010-12-24T06:07:50Z,2026-02-06T07:27:21Z,13370,6844,18,13370,14494
