repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
Bloatynosy,C#,2023-01-25T11:37:13Z,2026-02-07T05:03:31Z,5561,174,6,5561,12559
ParticleEffectForUGUI,C#,2018-06-22T10:31:35Z,2026-02-06T08:13:16Z,5515,716,45,5515,24312
ServiceStack,C#,2011-02-07T23:19:18Z,2026-02-07T23:39:33Z,5492,1629,36,5492,463042
ClosedXML,C#,2016-08-27T10:28:44Z,2026-02-07T17:15:44Z,5485,915,476,5485,71824
msbuild,C#,2015-03-12T02:04:46Z,2026-02-08T03:00:44Z,5482,1404,1513,5482,334305
AngleSharp,C#,2013-06-05T12:05:34Z,2026-02-08T08:39:16Z,5463,589,10,5463,52402
Swashbuckle.AspNetCore,C#,2015-03-16T05:49:00Z,2026-02-05T18:41:43Z,5462,1337,181,5462,6754
Everywhere,C#,2025-04-23T08:19:33Z,2026-02-07T16:19:33Z,5442,318,27,5442,21925
aspire,C#,2023-09-25T23:49:49Z,2026-02-07T18:08:09Z,5412,799,1577,5412,116844
pythonnet,C#,2013-11-27T13:42:20Z,2026-02-06T09:25:38Z,5398,771,172,5398,9946
Malware-Patch,C#,2018-05-16T02:46:04Z,2026-02-07T11:22:10Z,5387,332,12,5387,4595
usbipd-win,C#,2020-10-18T21:44:11Z,2026-02-08T07:06:39Z,5369,324,73,5369,9256
Common.Utility,C#,2017-10-10T07:56:02Z,2026-02-07T10:08:34Z,5296,2185,13,5296,113415
Blog.Core,C#,2018-08-17T09:33:26Z,2026-02-05T11:12:10Z,5284,1430,7,5284,72236
Ladon,C#,2019-11-02T06:22:41Z,2026-02-06T08:11:07Z,5258,898,36,5258,214177
SkiaSharp,C#,2016-02-22T17:54:43Z,2026-02-07T14:22:40Z,5258,611,706,5258,374805
tye,C#,2020-02-28T21:04:46Z,2026-02-04T12:53:21Z,5235,517,394,5235,6454
Libation,C#,2019-10-04T20:02:35Z,2026-02-08T08:02:06Z,5218,265,120,5218,143415
CsvHelper,C#,2009-12-30T04:27:46Z,2026-02-04T01:40:38Z,5216,1109,345,5216,55973
ThisIsWin11,C#,2021-07-19T17:20:43Z,2026-02-06T18:31:02Z,5212,332,56,5212,20347
LittleBigMouse,C#,2015-02-07T13:30:07Z,2026-02-08T07:09:42Z,5169,232,108,5169,309991
QFramework,C#,2016-02-05T11:30:53Z,2026-02-08T04:50:43Z,5153,842,6,5153,533365
LiveCharts2,C#,2021-02-11T01:01:27Z,2026-02-03T11:21:18Z,5141,675,125,5141,76798
Umbraco-CMS,C#,2013-06-10T13:50:46Z,2026-02-08T00:23:14Z,5117,2851,565,5117,438977
markdig,C#,2016-05-25T14:18:26Z,2026-02-08T08:26:18Z,5105,504,126,5105,5373
FPSSample,C#,2018-10-17T09:03:54Z,2026-02-06T22:55:57Z,5082,1871,110,5082,218882
NaughtyAttributes,C#,2017-10-16T13:54:46Z,2026-02-06T18:59:50Z,5071,498,135,5071,3417
openiddict-core,C#,2015-08-21T19:21:48Z,2026-02-07T01:53:32Z,5064,583,12,5064,16659
clashN,C#,2022-04-01T11:11:32Z,2026-02-07T10:16:44Z,5054,617,9,5054,12754
QRCoder,C#,2013-10-13T10:21:54Z,2026-02-06T22:00:09Z,5047,1178,28,5047,2361
tModLoader,C#,2015-07-21T05:30:07Z,2026-02-08T07:00:46Z,5043,2025,536,5043,769826
NorthwindTraders,C#,2016-10-11T10:52:28Z,2026-02-02T16:16:51Z,5034,1582,0,5034,5078
GoogleTranslateIpCheck,C#,2022-10-26T15:40:36Z,2026-02-08T02:54:52Z,5024,514,39,5024,5791
akka.net,C#,2013-12-29T14:17:38Z,2026-02-07T18:24:32Z,5018,1060,419,5018,96489
Remotely,C#,2019-03-19T13:57:04Z,2026-02-06T16:28:24Z,5014,1638,246,5014,23976
Parabolic,C#,2021-12-18T16:43:09Z,2026-02-08T08:47:19Z,5013,230,39,5013,143584
Mapster,C#,2014-05-30T21:19:14Z,2026-02-07T18:55:19Z,5000,392,86,5000,1856
Lidarr,C#,2017-05-06T14:25:41Z,2026-02-08T03:01:26Z,4986,339,803,4986,320404
Sheas-Cealer,C#,2022-04-26T02:41:37Z,2026-02-08T06:01:33Z,4976,604,28,4976,7929
MicaForEveryone,C#,2021-12-12T19:22:58Z,2026-02-06T23:56:10Z,4971,157,180,4971,6330
Hearthstone-Deck-Tracker,C#,2014-05-29T18:44:12Z,2026-02-07T13:32:04Z,4968,1138,676,4968,139773
