repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
migrations-generator,PHP,2014-03-17T16:45:14Z,2026-01-30T08:30:08Z,3336,495,81,3336,102
freenom,PHP,2021-09-10T01:39:41Z,2026-02-06T08:45:19Z,3335,1623,81,3335,11471
MadelineProto,PHP,2016-06-23T21:35:22Z,2026-02-07T15:54:22Z,3329,815,57,3329,64091
webgrind,PHP,2011-01-19T17:13:31Z,2026-01-30T11:04:41Z,3327,409,50,3327,554
easy-sms,PHP,2017-03-09T13:26:10Z,2026-02-05T13:07:46Z,3321,564,23,3321,529
kratos,PHP,2016-06-05T11:48:57Z,2026-02-07T12:16:08Z,3320,615,25,3320,24840
seotools,PHP,2015-02-23T19:21:45Z,2026-02-07T14:44:45Z,3313,513,28,3313,351
PHP-MySQLi-Database-Class,PHP,2010-10-23T15:19:38Z,2026-02-08T02:27:50Z,3309,1330,210,3309,624
anchor-cms,PHP,2011-05-03T19:10:05Z,2026-01-26T08:56:04Z,3308,561,48,3308,9183
php-curl-class,PHP,2013-08-16T18:56:52Z,2026-02-05T14:25:45Z,3301,818,1,3301,3130
facebook-php-sdk,PHP,2011-12-30T23:47:27Z,2026-01-28T10:28:31Z,3298,2787,2,3298,1422
git-updater,PHP,2013-07-07T20:44:47Z,2026-02-07T07:07:54Z,3296,470,11,3296,17795
ThinkUp,PHP,2009-06-06T19:27:42Z,2026-02-01T09:30:09Z,3280,666,181,3280,39544
oauth2-server-php,PHP,2012-09-20T22:22:53Z,2026-02-05T02:02:06Z,3280,949,287,3280,1463
semver,PHP,2015-07-15T17:05:25Z,2026-02-06T08:54:38Z,3279,74,0,3279,650
mustache.php,PHP,2010-03-19T10:58:58Z,2026-02-03T21:33:14Z,3276,436,35,3276,1282
shopware,PHP,2018-05-03T13:00:31Z,2026-02-06T20:00:43Z,3275,1159,1429,3275,383346
telegram-bot-sdk,PHP,2015-06-29T07:12:35Z,2026-02-07T17:03:24Z,3271,675,28,3271,2196
instagram-php-scraper,PHP,2016-04-22T07:44:18Z,2026-02-07T05:05:27Z,3258,794,62,3258,648
satis,PHP,2012-01-16T18:10:58Z,2026-02-07T10:03:25Z,3249,530,105,3249,3584
options-resolver,PHP,2012-05-16T05:51:32Z,2026-02-07T11:03:13Z,3244,28,0,3244,736
doctrine-bridge,PHP,2011-10-25T05:23:52Z,2026-02-07T11:03:13Z,3235,43,3,3235,3528
wordpress-develop,PHP,2016-12-05T16:41:44Z,2026-02-08T01:11:10Z,3231,3261,2479,3231,341905
laravel-analytics,PHP,2015-03-12T08:58:50Z,2026-01-22T07:56:26Z,3230,473,0,3230,14794
LinkAce,PHP,2018-08-22T18:43:26Z,2026-02-05T21:44:53Z,3227,203,55,3227,7877
boost,PHP,2025-07-15T13:57:25Z,2026-02-07T16:47:37Z,3219,259,30,3219,1420
WebPageTest,PHP,2013-06-28T14:54:54Z,2026-02-02T09:37:13Z,3216,743,21,3216,1006925
php-graph-sdk,PHP,2014-04-16T14:20:43Z,2026-01-20T17:41:24Z,3206,1965,165,3206,1938
tntsearch,PHP,2016-02-26T10:23:57Z,2026-02-07T10:26:02Z,3200,296,86,3200,8217
favorite-link,PHP,2018-08-29T02:18:05Z,2026-02-08T06:34:44Z,3195,283,1,3195,17742
laravel-log-viewer,PHP,2014-11-23T12:12:09Z,2026-02-05T00:17:07Z,3189,377,50,3189,177
PackageVersions,PHP,2016-01-25T18:48:05Z,2026-02-08T05:33:13Z,3188,73,3,3188,1411
phpRedisAdmin,PHP,2011-07-06T12:29:59Z,2026-02-05T13:08:25Z,3187,668,12,3187,305
pyrocms,PHP,2010-07-06T12:55:25Z,2026-02-05T00:45:15Z,3178,920,9,3178,59655
asset,PHP,2015-02-10T15:24:11Z,2026-01-28T21:03:31Z,3161,12,0,3161,383
OpnForm,PHP,2022-09-20T19:54:26Z,2026-02-08T06:04:45Z,3149,451,14,3149,36705
php-ddd-example,PHP,2016-11-17T12:56:16Z,2026-02-05T11:54:02Z,3124,1099,59,3124,2136
kodbox,PHP,2021-04-07T11:40:08Z,2026-02-08T07:20:58Z,3109,466,12,3109,234951
blueprint,PHP,2019-10-14T14:24:34Z,2026-02-06T22:29:46Z,3104,298,11,3104,1544
apiato,PHP,2016-04-17T10:30:15Z,2026-02-02T02:12:13Z,3102,481,11,3102,14726
pint,PHP,2022-06-14T06:30:22Z,2026-02-07T11:07:57Z,3084,177,21,3084,372805
vesta,PHP,2011-06-13T20:22:59Z,2026-02-05T07:11:16Z,3065,1030,417,3065,53129
panther,PHP,2018-03-16T20:54:41Z,2026-02-08T02:51:49Z,3060,236,208,3060,560
Baikal,PHP,2012-02-27T20:22:55Z,2026-02-07T11:10:36Z,3047,306,106,3047,6996
patternlab-php,PHP,2013-06-19T01:52:22Z,2026-02-01T09:31:08Z,3035,445,27,3035,18776
laravel-vue-spa,PHP,2017-01-16T22:40:38Z,2026-02-01T11:34:33Z,3031,952,15,3031,2487
browser-kit,PHP,2011-02-22T17:59:52Z,2026-01-23T16:35:13Z,3024,58,0,3024,936
tesseract-ocr-for-php,PHP,2012-04-08T04:20:07Z,2026-02-04T19:34:23Z,3024,553,6,3024,1142
vito,PHP,2023-07-02T10:46:29Z,2026-02-08T00:46:24Z,3021,393,21,3021,22380
CMB2,PHP,2014-08-20T16:49:33Z,2026-02-04T12:18:38Z,3013,564,279,3013,7746
minify,PHP,2011-06-25T05:52:15Z,2026-01-29T21:51:22Z,3003,467,60,3003,1789
sushi,PHP,2020-01-25T03:42:39Z,2026-02-03T16:16:24Z,2991,185,20,2991,108
card-system,PHP,2018-01-02T11:58:42Z,2026-02-07T07:50:12Z,2987,910,16,2987,20728
Laravel-Phone,PHP,2014-02-23T22:54:38Z,2026-02-03T10:36:51Z,2984,233,0,2984,315
alltube,PHP,2014-03-13T19:02:32Z,2026-02-05T11:47:21Z,2981,577,43,2981,4091
vanilla,PHP,2009-06-21T01:41:25Z,2026-02-07T12:29:21Z,2978,781,25,2978,173335
