repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
gephi,Java,2011-10-22T03:14:46Z,2026-02-06T17:16:36Z,6354,1595,548,6354,658944
JFoenix,Java,2015-09-08T14:04:24Z,2026-02-06T11:15:27Z,6347,1053,133,6347,28243
flink-cdc,Java,2020-07-27T19:23:33Z,2026-02-08T06:34:51Z,6346,2123,67,6346,44862
richeditor-android,Java,2015-03-30T16:19:20Z,2026-02-05T12:35:54Z,6342,1207,222,6342,2898
IJPay,Java,2017-05-02T03:15:32Z,2026-02-07T07:15:06Z,6340,1481,15,6340,25427
smile,Java,2014-11-20T16:28:12Z,2026-02-06T08:23:00Z,6336,1148,6,6336,276076
from-java-to-kotlin,Java,2017-05-21T11:56:27Z,2026-02-07T02:36:32Z,6327,785,10,6327,273
mini-spring,Java,2020-11-17T11:59:18Z,2026-02-06T16:27:00Z,6321,1445,32,6321,1103
config,Java,2011-12-06T08:02:29Z,2026-02-06T20:36:50Z,6293,979,239,6293,4691
iotdb,Java,2018-11-24T21:29:17Z,2026-02-06T06:48:34Z,6279,1112,606,6279,342903
ion,Java,2013-05-22T07:41:23Z,2026-02-07T21:52:09Z,6269,1028,337,6269,11832
graphhopper,Java,2012-02-18T19:57:38Z,2026-02-07T09:26:58Z,6259,1872,255,6259,139335
graphql-java,Java,2015-07-06T06:52:20Z,2026-02-08T06:56:20Z,6233,1152,61,6233,26061
spring-cloud-examples,Java,2017-04-28T08:48:53Z,2026-02-05T10:52:01Z,6219,3074,5,6219,76
incubator-kie-drools,Java,2011-02-18T08:37:05Z,2026-02-07T23:40:44Z,6218,2578,89,6218,310949
java-jwt,Java,2014-03-07T15:06:11Z,2026-02-07T14:18:27Z,6195,945,17,6195,1522
grafika,Java,2013-12-19T18:36:53Z,2026-02-07T04:35:46Z,6157,1480,64,6157,1092
useful-java-links,Java,2016-02-13T13:14:52Z,2026-02-07T16:50:32Z,6139,1207,17,6139,2324
SoloPi,Java,2019-03-14T15:32:49Z,2026-02-05T14:42:27Z,6125,1245,136,6125,272397
SpringBootVulExploit,Java,2020-05-20T09:18:44Z,2026-02-06T07:37:05Z,6112,1322,5,6112,135
camel,Java,2009-05-21T00:25:36Z,2026-02-07T23:41:18Z,6111,5094,11,6111,1209783
SwipeBackLayout,Java,2013-08-25T03:36:12Z,2026-02-03T08:25:40Z,6111,1395,120,6111,2934
MaterialEditText,Java,2014-10-30T10:07:23Z,2026-02-07T15:23:57Z,6100,1038,195,6100,1260
NumberProgressBar,Java,2014-05-01T08:54:25Z,2026-02-04T03:43:21Z,6099,1397,29,6099,158
kafdrop,Java,2019-05-27T08:46:56Z,2026-02-07T14:53:39Z,6098,886,46,6098,3023
so-novel,Java,2022-05-23T15:49:36Z,2026-02-08T07:47:47Z,6096,484,18,6096,4130
vavr,Java,2014-01-30T14:07:25Z,2026-02-08T06:07:06Z,6090,659,87,6090,24990
hudi,Java,2016-12-14T15:53:41Z,2026-02-08T02:39:54Z,6086,2466,3966,6086,2644738
google-java-format,Java,2015-05-11T20:38:28Z,2026-02-08T00:21:57Z,6064,916,164,6064,2331
javaparser,Java,2011-10-30T14:03:44Z,2026-02-05T10:53:36Z,6043,1227,448,6043,47634
j2objc,Java,2014-01-30T20:19:56Z,2026-02-06T02:00:58Z,6037,993,96,6037,104940
dynamic-load-apk,Java,2014-03-30T11:51:00Z,2026-02-04T01:00:57Z,6029,1983,95,6029,8956
pinot,Java,2014-05-19T23:27:48Z,2026-02-07T07:00:49Z,6023,1448,1873,6023,345483
austin,Java,2021-11-06T09:36:01Z,2026-02-06T06:45:48Z,6022,1460,3,6022,20123
EffectiveAndroidUI,Java,2014-07-04T08:42:20Z,2026-02-05T16:21:18Z,6011,1189,5,6011,998
hive,Java,2009-05-21T02:31:01Z,2026-02-08T05:58:41Z,6006,4791,58,6006,747973
robolectric,Java,2010-08-28T00:28:25Z,2026-02-08T07:57:17Z,6000,1378,473,6000,65595
hippo4j,Java,2021-06-16T02:59:48Z,2026-02-07T12:07:37Z,5986,1240,140,5986,24735
btrace,Java,2014-08-28T18:58:24Z,2026-02-05T10:53:17Z,5986,963,12,5986,18914
physical-web,Java,2014-09-30T18:32:14Z,2026-01-28T06:28:14Z,5984,653,93,5984,33447
datax-web,Java,2019-11-19T01:09:05Z,2026-02-07T00:07:19Z,5980,2249,316,5980,43670
material,Java,2014-12-09T12:07:32Z,2026-02-06T12:23:10Z,5974,1303,214,5974,3901
xUtils3,Java,2015-10-28T10:56:04Z,2026-02-07T04:24:14Z,5962,1970,38,5962,9041
nifi,Java,2014-12-12T08:00:05Z,2026-02-07T19:12:11Z,5951,2926,22,5951,302659
ssm,Java,2016-06-18T17:58:56Z,2026-02-05T10:54:07Z,5948,2722,44,5948,12364
springfox,Java,2012-05-06T06:38:57Z,2026-02-04T01:24:12Z,5942,1518,265,5942,186279
jeepay,Java,2017-08-12T02:40:32Z,2026-02-07T23:16:43Z,5941,1930,41,5941,6512
zxing-android-embedded,Java,2012-11-28T16:36:39Z,2026-02-08T00:08:57Z,5926,1295,123,5926,8388
api-samples,Java,2013-12-09T18:41:41Z,2026-02-06T07:11:44Z,5926,3049,410,5926,816
material-calendarview,Java,2015-02-09T22:31:56Z,2026-02-06T11:04:57Z,5923,1305,252,5923,4823
androidmvp,Java,2014-04-02T05:42:20Z,2026-02-03T08:34:36Z,5914,1557,4,5914,327
JSqlParser,Java,2011-06-23T22:51:52Z,2026-02-06T15:00:23Z,5908,1422,114,5908,13569
motan,Java,2016-04-20T10:56:17Z,2026-02-06T15:07:41Z,5907,1761,366,5907,4698
blade,Java,2015-06-10T03:35:49Z,2026-02-07T05:50:42Z,5886,1165,14,5886,3385
Fast-Android-Networking,Java,2016-03-21T18:35:44Z,2026-02-06T16:46:24Z,5883,971,233,5883,2845
DiskLruCache,Java,2012-01-05T00:36:34Z,2026-02-07T02:03:03Z,5870,1172,23,5870,416
lanproxy,Java,2016-11-20T08:12:10Z,2026-02-05T02:00:56Z,5850,1557,143,5850,9350
